x,y,z
1.48,1.48,0.48
1.48,1.48,0.48
1.48,1.48,1.48
0.81,0.00,1.48
0.81,0.00,1.48
-1.52,-1.52,0.62
-1.52,-1.52,0.62
1.14,-1.52,-0.33
1.14,-1.52,-0.33
1.19,0.86,1.48
1.19,0.86,1.48
1.48,1.48,1.14
1.43,1.43,1.48
1.43,1.43,1.48
-1.38,-1.52,0.76
-1.38,-1.52,0.76
1.48,-1.52,0.38
1.48,-1.52,0.38
1.48,1.48,1.48
1.48,1.48,1.43
1.48,1.48,1.43
-0.81,-1.52,0.52
-0.81,-1.52,0.52
1.48,-1.48,-0.33
1.48,-1.48,-0.33
1.48,1.48,1.29
1.05,1.43,1.43
1.05,1.43,1.43
0.52,-1.52,-0.05
0.52,-1.52,-0.05
1.48,0.10,0.29
1.48,0.10,0.29
1.48,1.48,1.43
0.14,1.48,1.48
0.14,1.48,1.48
-0.57,-1.52,1.48
-0.57,-1.52,1.48
1.48,-1.38,1.33
1.48,-1.38,1.33
0.48,1.48,1.48
0.48,1.48,1.48
-0.57,1.48,1.48
-0.38,-1.52,1.48
-0.38,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
-0.33,1.48,1.48
-0.33,1.48,1.48
-0.52,1.48,1.48
1.05,-1.38,1.48
1.05,-1.38,1.48
1.48,-1.52,0.67
1.48,-1.52,0.67
1.48,1.48,1.48
1.48,1.48,1.48
1.38,1.48,1.48
-0.38,-0.86,1.48
-0.38,-0.86,1.48
1.48,-1.52,1.00
1.48,-1.52,1.00
-1.52,1.48,1.48
-1.52,1.48,1.48
-0.14,1.48,1.48
1.48,-1.10,1.48
1.48,-1.10,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
-1.00,1.48,1.48
-1.00,1.48,1.48
-0.14,1.48,1.48
-0.14,1.48,1.48
1.43,0.29,1.48
1.48,-1.52,1.33
1.48,-1.52,1.33
-0.95,1.48,1.48
-0.95,1.48,1.48
-0.48,1.48,1.48
-0.48,1.48,1.48
1.48,1.43,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.43,1.48,1.48
1.43,1.48,1.48
-1.10,1.48,1.48
-1.10,1.48,1.48
1.48,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,1.48,1.48
1.48,1.48,1.48
-0.71,1.48,1.48
-0.71,1.48,1.48
1.48,1.43,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.43,1.48,1.48
1.43,1.48,1.48
-0.52,1.48,1.48
-0.52,1.48,1.48
0.38,1.48,1.48
0.38,1.48,1.48
1.48,-1.52,1.48
1.48,1.48,1.48
1.48,1.48,1.48
-0.05,1.48,1.48
-0.05,1.48,1.48
-0.76,1.48,1.48
-0.76,1.48,1.48
1.48,-1.52,1.48
1.48,-0.29,1.48
1.48,-0.29,1.48
-0.24,1.48,1.48
-0.24,1.48,1.48
-1.48,1.48,1.48
-1.48,1.48,1.48
1.43,-1.52,1.48
1.48,-1.52,1.43
1.48,-1.52,1.43
-1.00,1.48,1.48
-1.00,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.38,-1.19,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
-1.29,1.48,1.48
-1.29,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.38,1.48
1.48,1.38,1.48
1.48,-1.52,1.48
1.33,1.48,1.48
1.33,1.48,1.48
0.62,1.48,1.48
0.62,1.48,1.48
-0.14,1.48,1.48
-0.14,1.48,1.48
1.43,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
-0.43,1.48,1.48
-0.43,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,-0.62,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
0.52,1.48,1.48
0.52,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.24,1.48,1.48
1.24,1.48,1.48
1.48,-1.52,1.48
1.48,-1.24,1.48
1.48,-1.24,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
-1.43,1.48,1.48
-1.43,1.48,1.48
1.48,-0.38,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.10,1.48,1.48
1.10,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.29,1.48,1.48
1.29,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.38,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,0.57,1.48
1.48,0.57,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
-0.52,1.48,1.48
-0.52,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
0.05,1.48,1.48
0.05,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,0.00,1.48
1.48,0.00,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,-0.95,1.48
1.48,-0.95,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
0.14,1.48,1.48
0.14,1.48,1.48
-1.52,1.48,1.48
1.48,1.48,0.00
1.48,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,0.48,1.48
1.48,0.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
-1.43,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
0.33,1.48,1.48
0.33,1.48,1.48
-1.52,1.48,1.48
1.48,1.19,1.48
1.48,1.19,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
0.86,1.48,1.48
0.86,1.48,1.48
-1.52,1.48,1.48
0.95,1.48,1.48
0.95,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
-1.14,1.48,1.48
-1.14,1.48,1.48
-1.52,1.48,1.48
1.48,1.48,1.48
1.48,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,0.38,1.48
1.48,0.38,1.48
-1.52,1.48,1.48
-1.43,1.48,1.48
-1.43,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
-0.14,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.48,1.48
1.48,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-0.29,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
-0.76,1.48,1.48
-0.76,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
-1.48,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.33,1.48
1.48,1.33,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.38,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
-1.38,1.48,1.48
-1.38,1.48,1.48
1.48,-1.43,1.48
1.48,-1.43,1.48
1.48,-1.52,1.48
0.67,1.48,1.48
0.67,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.38,1.48,1.48
1.38,1.48,1.48
1.48,-1.52,1.19
1.48,-0.29,1.48
1.48,-0.29,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
-1.48,1.48,1.48
-1.48,1.48,1.48
1.48,-1.43,1.48
1.48,-1.43,1.48
1.48,-1.52,1.48
0.38,1.48,1.48
0.38,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
0.76,1.48,1.48
0.76,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.38,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
0.57,1.48,1.48
0.57,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.29,1.48
1.48,1.29,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,0.29,1.48
1.48,0.29,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,-0.33,1.48
1.48,-0.33,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,1.29,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
-1.14,1.48,1.48
-1.14,1.48,1.48
1.48,-0.05,1.48
1.48,-0.05,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.33,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
-1.05,1.48,1.48
-1.05,1.48,1.48
1.48,-1.33,1.48
1.48,-1.33,1.48
1.48,-1.52,1.48
1.48,1.48,1.48
1.48,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,-0.43,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,1.14,1.48
1.48,1.14,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
-1.43,1.48,1.48
1.48,-1.00,1.48
1.48,-1.00,1.48
1.48,-1.52,1.00
1.48,-1.52,1.00
1.48,1.05,1.48
1.48,1.05,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.00,1.48
1.48,1.00,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.00,1.48
1.48,-1.00,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.29,1.48
1.48,1.29,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
-1.43,1.48,1.48
-1.43,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.48,1.48
1.48,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
0.14,1.48,1.48
0.14,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.48,1.48
1.48,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
0.90,1.48,1.48
0.90,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
0.33,1.48,1.48
0.33,1.48,1.48
-1.52,1.48,1.48
1.48,1.48,1.48
1.48,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.29,1.48,1.48
1.29,1.48,1.48
-1.52,1.48,1.48
1.10,1.48,1.48
1.10,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,1.43,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
-0.29,1.48,1.48
-0.29,1.48,1.48
1.48,0.43,1.48
1.48,0.43,1.48
1.48,-1.52,1.48
1.43,0.67,1.48
1.43,0.67,1.48
1.05,1.48,1.48
1.05,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,-0.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,1.38,1.48
1.48,1.38,1.48
1.29,1.48,1.48
1.29,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.33,1.48
1.48,-1.33,1.48
0.38,1.48,1.48
0.38,1.48,1.48
-1.52,1.48,1.48
1.48,1.43,1.48
1.48,1.43,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.05,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.48,1.48
1.48,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.48,1.48
1.48,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.33,1.48,1.48
1.33,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.43,1.48
1.48,1.43,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.19,1.48,1.48
1.19,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.38,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.24,1.48,1.48
1.24,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.48,1.48
1.48,-0.62,1.48
1.48,-0.62,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,1.43,1.48
1.48,1.43,1.48
-1.24,1.48,1.48
-1.33,1.48,1.48
-1.33,1.48,1.48
1.48,1.33,1.43
1.48,1.33,1.43
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.48,1.48
1.29,1.48,1.48
1.29,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.48,1.48
1.48,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,1.33,1.48
1.48,1.33,1.48
0.10,1.48,1.48
0.10,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-0.33,1.48
1.48,-0.33,1.48
-1.52,1.48,1.48
1.48,1.48,1.48
1.48,1.48,1.48
1.48,-1.48,1.48
1.48,-1.48,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
-1.48,1.48,1.48
-1.48,1.48,1.48
-1.29,1.48,1.48
-1.29,1.48,1.48
1.48,1.48,0.00
1.48,1.48,0.00
1.48,-1.52,1.43
1.48,-1.52,1.43
1.29,-1.52,1.48
1.24,-1.52,1.48
1.24,-1.52,1.48
1.48,1.48,0.76
1.48,1.48,0.76
1.43,1.48,-0.24
1.43,1.48,-0.24
1.48,1.48,1.48
0.43,-1.52,1.48
0.43,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,0.24,1.19
1.48,0.24,1.19
1.48,1.48,-0.57
-1.33,1.48,1.48
-1.33,1.48,1.48
-0.38,0.43,1.48
-0.38,0.43,1.48
1.33,-1.52,1.48
1.33,-1.52,1.48
1.48,-1.52,1.48
1.48,1.48,0.67
1.48,1.48,0.67
0.14,1.48,1.48
0.14,1.48,1.48
-1.05,1.48,1.48
-1.05,1.48,1.48
1.10,-0.43,1.48
1.10,-0.43,1.48
1.48,-1.52,1.48
1.48,-1.29,1.48
1.48,-1.29,1.48
1.48,1.43,0.62
1.48,1.43,0.62
-1.52,1.48,1.48
-1.52,1.48,1.48
1.43,1.48,1.48
1.48,-1.52,0.90
1.48,-1.52,0.90
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-0.24,1.48
1.48,-0.24,1.48
-1.52,1.43,1.48
0.00,1.48,1.48
0.00,1.48,1.48
1.38,0.81,0.33
1.38,0.81,0.33
1.48,-1.52,1.48
1.48,-1.52,1.48
0.29,-0.71,1.48
-1.52,-0.10,1.48
-1.52,-0.10,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.48,0.48
1.48,1.48,0.48
1.48,-1.52,1.33
1.48,-1.52,1.33
1.48,-1.52,1.48
-1.52,-0.71,1.48
-1.52,-0.71,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.48,-1.43
1.48,1.48,-1.43
1.48,-1.52,0.86
1.48,-0.48,-0.19
1.48,-0.48,-0.19
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.48,0.29
1.48,1.48,0.29
1.48,-0.38,-1.52
1.48,-1.52,1.48
1.48,-1.52,1.48
1.24,-0.33,0.29
1.24,-0.33,0.29
-1.52,1.48,1.48
-1.52,1.48,1.48
-0.38,1.48,1.48
1.48,0.48,-0.62
1.48,0.48,-0.62
1.48,-1.52,1.38
1.48,-1.52,1.38
1.43,-1.10,0.62
1.43,-1.10,0.62
-1.52,1.48,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.48,-1.52
1.48,1.48,-1.52
1.48,-1.52,-0.81
1.48,-1.52,-0.81
1.43,-1.43,0.90
1.43,-0.57,1.48
-1.52,-0.57,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.48,-1.52
1.48,1.48,-1.52
1.48,-1.52,0.76
1.48,-1.52,0.76
1.48,-0.29,0.71
-1.52,-0.43,1.48
-1.52,-0.43,1.48
-1.52,1.48,1.48
-1.52,1.48,1.48
1.48,1.48,-1.52
1.48,1.48,-1.52
1.48,-1.52,-1.52
1.48,-1.33,0.19
1.48,-1.33,0.19
-1.52,0.00,1.48
-1.52,0.00,1.48
-1.05,1.48,1.48
-1.05,1.48,1.48
1.48,1.48,-1.52
1.48,-1.52,-1.52
1.48,-1.52,-1.52
1.48,0.48,-0.86
1.48,0.48,-0.86
-1.52,-1.52,1.48
-1.52,-1.52,1.48
-0.86,1.29,1.48
1.48,1.48,-1.52
1.48,1.48,-1.52
1.48,-1.00,-1.52
1.48,-1.00,-1.52
1.48,0.52,-1.38
1.48,0.52,-1.38
-1.52,0.71,1.48
-1.52,-0.90,1.48
-1.52,-0.90,1.48
1.48,1.48,-1.48
1.48,1.48,-1.48
1.48,1.33,-1.52
1.48,1.33,-1.52
1.48,-1.38,-1.52
1.48,-1.38,-1.52
-0.95,-1.19,1.48
-1.52,0.95,1.48
-1.52,0.95,1.48
1.48,1.48,1.05
1.48,1.48,1.05
1.48,1.48,-1.52
1.48,1.48,-1.52
1.48,-1.52,-1.52
1.48,-0.29,-0.05
1.48,-0.29,-0.05
-1.52,-1.52,1.48
-1.52,-1.52,1.48
0.57,1.48,1.48
0.57,1.48,1.48
1.48,1.48,-1.52
1.48,-1.29,-1.52
1.48,-1.29,-1.52
1.38,-1.52,-0.81
1.38,-1.52,-0.81
0.48,0.95,0.00
0.48,0.95,0.00
-0.71,1.33,1.24
-1.52,1.24,1.48
-1.52,1.24,1.48
1.48,0.76,-0.67
1.48,0.76,-0.67
1.48,-0.19,-1.52
1.48,-0.19,-1.52
1.48,-0.67,-1.19
-0.19,0.86,0.43
-0.19,0.86,0.43
-1.48,-1.52,1.48
-1.48,-1.52,1.48
1.33,0.81,0.29
1.33,0.81,0.29
1.48,1.48,-1.52
1.48,1.48,-1.52
1.48,1.48,-1.43
-0.76,-0.19,1.48
-0.76,-0.19,1.48
-1.10,-1.52,1.48
-1.10,-1.52,1.48
1.48,-1.52,0.29
1.48,-1.52,0.29
1.48,1.48,-1.52
1.43,1.48,-1.52
1.43,1.48,-1.52
-0.33,1.48,1.10
-0.33,1.48,1.10
-1.52,-1.52,1.48
-1.52,-1.52,1.48
1.48,-1.52,1.24
1.48,1.33,-1.33
1.48,1.33,-1.33
1.48,1.48,-1.43
1.48,1.48,-1.43
-0.48,1.48,0.90
-0.48,1.48,0.90
-1.05,-0.24,1.48
1.19,-1.52,1.48
1.19,-1.52,1.48
1.48,-0.10,-0.67
1.48,-0.10,-0.67
1.48,1.48,-1.19
1.48,1.48,-1.19
-0.57,1.48,1.00
0.05,1.48,1.48
0.05,1.48,1.48
0.71,-1.05,1.48
0.71,-1.05,1.48
1.48,-1.52,0.90
1.48,-1.52,0.90
1.48,-1.52,-0.33
1.48,-1.52,-0.33
1.43,1.14,-0.57
-0.14,1.48,0.81
-0.14,1.48,0.81
-1.43,1.48,1.48
-1.43,1.48,1.48
1.43,1.48,0.57
1.43,1.48,0.57
1.10,-1.52,1.48
1.48,-1.52,-0.24
1.48,-1.52,-0.24
1.48,-1.52,0.14
1.48,-1.52,0.14
0.71,1.33,0.86
0.71,1.33,0.86
-1.52,1.48,1.48
0.95,1.48,0.48
0.95,1.48,0.48
1.43,0.67,0.48
1.43,0.67,0.48
1.48,-1.52,-0.19
1.48,-1.52,-0.19
1.48,-1.52,0.10
1.48,-1.24,0.00
1.48,-1.24,0.00
0.10,1.38,0.86
0.10,1.38,0.86
-1.52,1.48,1.48
-1.52,1.48,1.48
0.76,1.48,1.05
0.76,1.48,1.05
1.48,1.38,0.57
1.48,-1.52,1.48
1.48,-1.52,1.48
1.48,-1.52,1.14
1.48,-1.52,1.14
1.48,-0.95,1.48
1.48,-0.95,1.48
-1.52,1.48,1.48
0.86,1.48,1.48
0.86,1.48,1.48
1.48,1.05,1.48
1.48,1.05,1.48
1.48,-1.52,1.43
1.48,-1.52,1.43
1.48,-1.52,1.05
1.48,-0.95,0.33
1.48,-0.95,0.33
-1.52,1.48,1.48
-1.52,1.48,1.48
-1.24,1.48,1.48
-1.24,1.48,1.48
1.48,1.48,0.71
1.48,-1.52,1.38
1.48,-1.52,1.38
1.48,-1.52,1.19
1.48,-1.52,1.19
1.48,0.00,-0.05
1.48,0.00,-0.05
-1.52,1.48,1.48
-1.52,1.48,1.48
-0.05,1.48,1.43
1.43,1.48,0.62
1.43,1.48,0.62
1.48,-1.52,0.19
1.48,-1.52,0.19
1.43,-1.52,1.43
1.43,-1.52,1.43
1.48,-1.19,-0.14
-1.52,1.48,1.48
-1.52,1.48,1.48
-0.76,1.48,1.48
-0.76,1.48,1.48
1.48,1.38,0.95
1.48,1.38,0.95
1.48,-1.52,-0.24
1.48,-1.52,0.43
1.48,-1.52,0.43
1.48,-1.29,0.24
1.48,-1.29,0.24
-0.90,1.48,1.43
-0.90,1.48,1.43
-1.52,1.48,1.48
1.33,1.48,1.00
1.33,1.48,1.00
1.48,-1.52,1.43
1.48,-1.52,1.43
1.48,-1.52,0.81
1.48,-1.52,0.81
1.48,-1.52,0.00
